artist,song,X,Y
back number,representative,-2.826161,8.905149
中島みゆき,representative,-3.207121,9.035785
米津玄師,representative,-2.6639128,5.384956
コブクロ,representative,-2.9974983,4.236229
加藤ミリヤ,representative,-4.0726037,8.15382
AAA,representative,-2.8168113,6.565167
椎名林檎,representative,0.27714643,7.5234456
ONE OK ROCK,representative,2.3317592,7.3428645
ゆず,representative,-2.318741,5.5744777
Official髭男dism,representative,-1.9792817,8.716882
松任谷由実,representative,-2.4366255,3.508771
RADWIMPS,representative,-1.845612,9.00439
HY,representative,-3.687575,8.221166
BUMP OF CHICKEN,representative,-1.881169,7.3261285
WANIMA,representative,-2.6879184,5.8351774
L'Arc～en～Ciel,representative,-2.361838,5.434505
SEKAI NO OWARI,representative,-1.6367093,5.450935
GLAY,representative,-4.3169413,7.6216445
あいみょん,representative,-2.732003,9.318442
いきものがかり,representative,-3.4234183,5.55441
KinKi Kids,representative,-3.9854128,6.499692
福山雅治,representative,-3.817349,7.5887723
UVERworld,representative,-0.30150828,7.4910426
スピッツ,representative,-1.6133909,4.295548
嵐,representative,-2.680249,5.6063437
安室奈美恵,representative,2.3604913,7.2252817
DREAMS COME TRUE,representative,-3.2271833,8.819433
宇多田ヒカル,representative,-2.9955652,9.20281
西野カナ,representative,-3.1010416,8.406112
Hey! Say! JUMP,representative,-3.9830496,6.268551
GReeeeN,representative,-3.11901,6.905499
SMAP,representative,-3.1019592,7.5003085
SUPER EIGHT,representative,-2.627407,6.7181025
三代目 J SOUL BROTHERS from EXILE TRIBE,representative,-3.106795,5.695579
Mrs. GREEN APPLE,representative,-2.4081323,9.02576
倖田來未,representative,-3.7551906,8.550685
サザンオールスターズ,representative,-0.3362128,3.286031
阿部真央,representative,-2.729091,9.006453
AKB48,representative,-3.033263,6.046675
B'z,representative,-3.0539215,9.016984
miwa,representative,-3.7944636,8.617997
ポルノグラフィティ,representative,-4.2816257,8.351899
NEWS,representative,-2.8812492,5.1748695
EXILE,representative,-3.7829828,7.561748
ケツメイシ,representative,-3.7586863,6.438814
乃木坂46,representative,-1.0268363,4.9515157
Mr.Children,representative,-2.2632413,7.11426
aiko,representative,-3.050619,8.340566
浜崎あゆみ,representative,-3.1548257,8.028346
