artist,song,topic,X,Y,release,lyricist,title,lyric
back number,クリスマスソング,-1,-4.0489497,5.1133847,2015-11-18,清水依与吏,クリスマスソング,どこかで鐘が鳴って らしくない言葉が浮かんで 寒さが心地よくて あれ なんで恋なんかしてんだろう 聖夜だなんだと繰り返す歌と わざとらしくきらめく街のせいかな 会いたいと思う回数が 会えないと痛いこの胸が 君の事どう思うか教えようとしてる いいよ そんな事自分で分かってるよ サンタとやらに頼んでも仕方ないよなぁ できれば横にいて欲しくて どこにも行って欲しくなくて 僕の事だけをずっと考えていて欲しい でもこんな事を伝えたら格好悪いし 長くなるだけだからまとめるよ 君が好きだ はしゃぐ恋人達は トナカイのツノなんか生やして よく人前で出来るなぁ いや 羨ましくなんてないけど 君が喜ぶプレゼントってなんだろう 僕だけがあげられるものってなんだろう 大好きだと言った返事が 思ってたのとは違っても それだけで嫌いになんてなれやしないから 星に願いをなんてさ 柄じゃないけど 結局君じゃないと嫌なんだって 見上げてるんだ あの時君に 出会って ただそれだけで 自分も知らなかった自分が次から次に 会いたいと毎日思ってて それを君に知って欲しくて すれ違う人混みに君を探している こんな日は他の誰かと笑ってるかな 胸の奥の奥が苦しくなる できれば横にいて欲しくて どこにも行って欲しくなくて 僕の事だけをずっと考えていて欲しい やっぱりこんな事伝えたら格好悪いし 長くなるだけだからまとめるよ 君が好きだ 聞こえるまで何度だって言うよ 君が好きだ
back number,花束,0,-3.136292,8.668666,2011-06-22,清水依与吏,花束,どう思う？これから2人でやっていけると思う？ んんどうかなぁでもとりあえずは 一緒にいたいと思ってるけど そうだねだけどさ最後は私がフラれると思うな んんどうかなぁでもとりあえずは 一緒にいてみようよ 浮気しても言わないでよね 知らなければ悲しくはならないでしょ 信用ないなぁ僕は僕なりに 真っ直ぐに君と向かい合いたいと思ってるよ 僕は何回だって何十回だって 君と抱き合って手を繋いでキスをして 思い出す度にニヤけてしまうような想い出を君と作るのさ そりゃケンカもするだろうけど それなら何回だって何十回だって 謝るし感謝の言葉もきっと忘れないから ごめんごめんありがとうごめんくらいの バランスになる危険性は少し高めだけど 許してよ 今までの僕は 曲がった事ばっかだった気がするんだよ だからせめて君のとこには まっすぐにまっすぐに走ってくよ 僕は何回だって何十回だって 君と抱き合って手を繋いでキスをして 甘い甘いこの気持ちを二人が忘れなければ 何も問題はないじゃない ケンカもするんだろうけど それなら何回だって何十回だって 謝るし感謝の言葉もきっと忘れないから 君とならどんな朝も夜も夕方だって 笑い合って生きていけるんじゃないかと 思うんだよ どう思う？これから2人でやっていけると思う？ んんどうかなぁでもとりあえずは 僕は君が好きだよ
back number,ハッピーエンド,0,-2.9927342,8.077903,2016-11-16,清水依与吏,ハッピーエンド,さよならが喉の奥につっかえてしまって 咳をするみたいにありがとうって言ったの 次の言葉はどこかとポケットを探しても 見つかるのはあなたを好きな私だけ 平気よ大丈夫だよ優しくなれたと思って 願いに変わって最後は嘘になって 青いまま枯れてゆく あなたを好きなままで消えてゆく 私みたいと手に取って 奥にあった想いと一緒に握り潰したの 大丈夫 大丈夫 今すぐに抱きしめて 私がいれば何もいらないと それだけ言ってキスをして なんてね 嘘だよ ごめんね こんな時思い出す事じゃないとは思うんだけど 一人にしないよってあれ実は嬉しかったよ あなたが勇気を出して初めて電話をくれた あの夜の私と何が違うんだろう どれだけ離れていてもどんなに会えなくても 気持ちが変わらないからここにいるのに 青いまま枯れてゆく あなたを好きなままで消えてゆく 私をずっと覚えていて なんてね 嘘だよ 元気でいてね 泣かない私に少しほっとした顔のあなた 相変わらず暢気ね そこも大好きよ 気が付けば横にいて 別に君のままでいいのになんて 勝手に涙拭いたくせに 見える全部聴こえる全て 色付けたくせに 青いまま枯れてゆく あなたを好きなままで消えてゆく 私みたいと手に取って 奥にあった想いと一緒に握り潰したの 大丈夫 大丈夫 今すぐに抱きしめて 私がいれば何もいらないと そう言ってもう離さないで なんてね 嘘だよ さよなら
back number,高嶺の花子さん,0,-2.9326491,8.55509,2013-06-26,清水依与吏,高嶺の花子さん,君から見た僕はきっと ただの友達の友達 たかが知人bにむけられた 笑顔があれならもう 恐ろしい人だ 君を惚れさせる 黒魔術は知らないし 海に誘う勇気も車もない でも見たい となりで目覚めて おはようと笑う君を 会いたいんだ 今すぐその角から 飛び出してきてくれないか 夏の魔物に連れ去られ 僕のもとへ 生まれた星のもとが 違くたって 偶然と夏の魔法とやらの力で 僕のものに なるわけないか 君の恋人になる人は モデルみたいな人なんだろう そいつはきっと 君よりも年上で 焼けた肌がよく似合う 洋楽好きな人だ キスをするときも 君は背伸びしている 頭をなでられ君が笑います 駄目だ何ひとつ 勝ってない いや待てよ そいつ誰だ 会いたいんだ 今すぐその角から 飛び出してきてくれないか 夏の魔物に連れ去られ 僕のもとへ 君が他の誰を 気になっていたって 偶然とアブラカタブラな力で 僕のものに この胸の 焦りに身を任せ 君のとこへ走ったとして 実は僕の方が 悪い意味で 夏の魔法的なもので 舞い上がってましたって 怖すぎる オチばかり浮かんできて 真夏の空の下で 震えながら 君の事を考えます 好きなアイスの味はきっと 会いたいんだ 今すぐその角から 飛び出してきてくれないか 夏の魔物に連れ去られ 僕のもとへ 生まれた星のもとが違くたって 偶然と夏の魔法とやらの力で 僕のものに なるわけないか
back number,ヒロイン,9,-4.2302284,3.8059835,2015-01-21,清水依与吏,ヒロイン,君の毎日に 僕は似合わないかな 白い空から 雪が落ちた 別にいいさと 吐き出したため息が 少し残って 寂しそうに消えた 君の街にも 降っているかな ああ今隣で 雪が綺麗と笑うのは君がいい でも寒いねって嬉しそうなのも 転びそうになって掴んだ手のその先で ありがとうって楽しそうなのも それも君がいい 気付けば辺りは ほとんどが白く染まって 散らかってた事 忘れてしまいそう 意外と積もったねと メールを送ろうとして 打ちかけのまま ポケットに入れた 好まれるような 強く優しい僕に 変われないかな 雪が綺麗と笑うのは君がいい 出しかけた答え胸が痛くて 渡し方もどこに捨てればいいかも分からずに 君から見えてる景色に ただ怯えているんだ 思えばどんな映画を観たって どんな小説や音楽だって そのヒロインに重ねてしまうのは君だよ 行ってみたい遠い場所で見たい夜空も 隣に描くのはいつでも 見慣れたはずの 街がこんなにも 馬鹿だなぁ僕は 君の街に白い雪が降った時 君は誰に会いたくなるんだろう 雪が綺麗だねって誰に言いたくなるんだろう 僕は やっぱり僕は 雪が綺麗と笑うのは君がいい でも寒いねって嬉しそうなのも 転びそうになって掴んだ手のその先で ありがとうって楽しそうなのも 全部君がいい
back number,瞬き,6,-1.9342871,3.0112236,2017-12-20,清水依与吏,瞬き,幸せとは 星が降る夜と眩しい朝が 繰り返すようなものじゃなく 大切な人に降りかかった雨に傘を差せる事だ 何の為に生きて行くのか 答えなんて無くていいよ 会いたい人と必要なものを少し守れたら 背伸びもへりくだりもせずに 僕のそのままで愛しい気持ちを歌えたなら 幸せとは 星が降る夜と眩しい朝が 繰り返すようなものじゃなく 大切な人に降りかかった雨に傘を差せる事だ 瞬きもせずに目を凝らしても見付かる類のものじゃない だからそばにいて欲しいんだ 夢の為に生きられた人 逸れた道が正解だった人 誰かの為に費やした人 自分を生きた人 誰にもなれなかったけど ただ今日も僕を必要だと思ってくれたら 幸せとは 星が降る夜と眩しい朝が 繰り返すようなものじゃなく 大切な人に降りかかった雨に傘を差せる事だ また弱さ見付けて戸惑う僕に でもそれが出来るだろうか 目を閉じて見付けた場所で 幸せとは 星が降る夜と眩しい朝が 繰り返すようなものじゃなく 大切な人に降りかかった雨に傘を差せる事だ そしていつの間にか僕の方が守られてしまう事だ いつもそばに いつも君がいて欲しいんだ 目を開けても 目を閉じても
back number,恋,0,-3.2507923,8.202204,2012-03-07,清水依与吏,恋,ぼんやりと君を眺めていたんだ 校舎の窓から やっぱりかわいいなって 友達と笑い合う君の姿に 見とれる事ももう できなくなっちゃうな 自慢できるようなものはないけど それでもいつでも君を探している きっと 誰より君を想ってるのは 今日も明日も僕だから ずっと 好きだって事を言わないと 会えなくなる前に(はやくしないと) 言えなくなる前に その手を 想い通りにならない事が 多いのは今に 始まったわけではない でもできるなら あの子の事だけは 神様仏様なんとか なりませんか 君の頭をなでて君が笑って そんな日を描いてはまた 今日が終わる きっと 誰より君を想ってるのは 今日も明日も僕だから ずっと 好きだって事を言わないと 会えなくなる前に(はやくしないと) 言えなくなる前に ねぇ君は 君の 好きな映画も好きな食べ物も 誕生日も全部 全部知ってるけど でも 毎日君が何を願って 誰を想っているのかも 結局 大事なとこは何も知らずに それでもずっと 本当にずっと きっと 誰より君を想ってるのは 今日も明日も僕だから ずっと 好きだって事を言わないと 会えなくなる前に(はやくしないと) 言えなくなる前に その手を
back number,わたがし,-1,-0.40367398,4.275905,2012-07-18,清水依与吏,わたがし,水色にはなびらの浴衣がこの世で一番 似合うのはたぶん君だと思う よく誘えた 泣きそうだ 夏祭りの最後の日 わたがしを口で溶かす君は わたがしになりたい僕に言う 楽しいねって 僕はうなずくだけで 気の利いた言葉も出てきやしない 君の隣歩く事に慣れてない自分が 恥ずかしくて 想いがあふれたらどうやって どんなきっかけタイミングで 手を繋いだらいいんだろう どう見ても柔らかい君の手を どんな強さでつかんで どんな顔で見つめればいいの 君がさっき口ずさんだ 歌にもたまに目が合う事も 深い意味なんてないのだろう 悲しいけど 君が笑ってくれる ただそれだけの事で僕はついに 心の場所を見つけたよ うるさくて痛くてもどかしくて 想いがあふれたらどうやって どんなきっかけタイミングで 手を繋いだらいいんだろう どう見ても柔らかい君の手を どんな強さでつかんで どんな顔で見つめればいいの もうすぐ花火が上がるね 君の横顔を今焼き付けるように じっと見つめる この胸の痛みはどうやって 君にうつしたらいいんだろう 横にいるだけじゃ駄目なんだ もう君の気を引ける話題なんて とっくに底をついて 残されてる言葉はもう わかってるけど 想いがあふれたらどうやって どんなきっかけタイミングで 手を繋いだらいいんだろう どう見ても柔らかい君の手を どんな強さでつかんで どんな顔で見つめればいいの 夏祭りの最後の日 わたがしを口で溶かす君に わたがしになりたい僕は言う 楽しいねって
back number,HAPPY BIRTHDAY,0,-1.1656568,8.44417,2019-02-27,清水依与吏,HAPPY BIRTHDAY,いつの間にやら日付は変わって なんで年って取るんだろう もう背は伸びないくせに 着信の音で飛び起きたけど損したな 君かと思ったのに 何かの手違いで 好きになってくれないかな どうにも君のいない場所は 空気が薄くてさ くだらない話は思い付くのに 君を抱き締めていい理由だけが見付からない ああそうか そうだよな ハッピーバースデー 片想いの俺 愛が何かは知らないけれど 好きと言う名前の痛みになら詳しいかも 君にも教えてあげたいけれど結局 教わるのは俺だろう このまま今日が終わり明日が来れば いつになっても縮まらないこの距離を 駆け引きにも綱引きにもならないやり取りを もっと単純な名前で呼んであげられるよ 何ひとつ終われないけど つまらない言葉の繰り返しで つじつまもきっと合ってない物語の続きに ひとりよがりの毎日に ハッピーバースデー 君に言って欲しいだけ くだらない話は思い付くのに 君を抱き締めていい理由だけが見付からない ああそうか そうだよな ハッピーバースデー 片想いの俺 ハッピーバースデー 片想いの俺
back number,オールドファッション,9,-4.1314964,3.8391106,2018-11-21,清水依与吏,オールドファッション,よく晴れた空に 雪が降るような ああ そう 多分そんな感じだ 変な例えだね 僕もそう思うよ だけど君はそんな感じだ 一体どこから話せば 君という素敵な生き物の素敵さが いま2回出た素敵はわざとだからね どうでもいいか 単純な事なんだきっと 比べるまでもないよ 僕に足りないものを全部 君が持ち合わせていたんだ 悲しくなるくらい ああ それを今数えてた所だよ 不安とか迷いでできている 僕の胸の細胞を 出来るなら君と取り替えて欲しかった 花は風を待って 月が夜を照らすのと同じように 僕に君なんだ デコボコしてても 並んで歩けば この道がいいと思った お祝いしようって君が なんにも無い日に言い出すのは決まって 僕がバレないように落ち込んだ時だ 不甲斐ないね 肝心な所はいつも 少し君の真似をして はずれでも優しい答えが出せるように 鳥は春を歌って いつだってそれに気付いてる君に 僕はなりたかった 僕と見た街は夜空は どう映っていたんだろう 君は後悔していないかな ねぇちょっと そんなのどうだっていいの ドーナツ買って来てよって 君なら ああ そう言うだろうな 単純な事なんだきっと 誰がなんと言おうと どれだけの時間が命が巡ったとしても 風は花を探して 夜と月が呼び合うのと同じように 君には僕なんだ
back number,SISTER,6,-1.5834587,3.063744,2015-05-27,清水依与吏,SISTER,無神経なタイミングで 降り出して街を濡らす雨 君は気付かないふりして 高く帆を張って渦の中へ とっておきのアイデアは 無機質な言葉で蹴飛ばされ 君は気にしないふりして 笑ってもっと渦の奥へ 戦う為に理解して砕いて本当は痛くて 目を閉じて自分に 大丈夫 言いきかせた 風の無い空に飛び出して 乾いた海を泳いで傷ついてまた 君はまた光を放って行く 負けないで 君が瞬きで隠した痛みをその想いを ああ 僕は知っているから 降りかかった憂鬱は 洗ったって落ちてはくれなくて 君は構わないふりして 速度を上げもっと先へ 綺麗なままじゃ辛くて 優しさはいつもあだになって 滲んでいく自分に 大丈夫 言いきかせた 目指した雲はずっと高くて 夢見た島は遥か遠い場所だと知ってて 分かってて踏み出してきたんだから 負けないで 君が瞬きで隠した痛みをその想いを ああ 僕は知っているから 地下鉄の窓に映り込む 疲れ切った逆さの君が 君の為にこの歌を歌ってる 泣かないで 君が費やしたすべてが意味を持つその時まで あの雲の先できっと きっと 風の無い空に飛び出して 乾いた海を泳いで傷ついてまた 君はまた光を放って行く 負けないで 君が瞬きで隠した痛みをその想いを ああ 僕は知っているから
back number,青い春,8,1.2234645,5.994386,2012-11-07,清水依与吏,青い春,教えられたものだけじゃ いまいち完成しないんだ 計算は合ってるはずなのに 型にはめ込まれたって きしんだレールの上だって 負けじと明日へと向かう 踊りながら 羽ばたく為のステージで 這いつくばっていても 踊らされてるのも 随分前から分かっていて それでも それでも また踊りながら 必死で生きているんだ 理想の未来なんて 用意されていない でもその中で願ってるのさ ああ光を 光を まぁいいやが増えたのは 大人になったからじゃなく きっと空気の中に変なものを 俺らが考え過ぎんのを よしとしない誰かさん達が 混ぜて垂れ流しているんだろう 踊りながら 羽ばたく為のステージで 這いつくばっていても 踊らされてるのも 随分前から分かっていて それでも それでも また踊りながら 必死で生きているんだ 答え行きの船なんて どこにもなくて でも逃げないで踊ってるのさ 正しいリズムじゃないけど 夢をみては打ちひしがれて 立ち上がってはまた憧れてさまよって 自分を知った気になって また分からなくなるそんな 青い春と言う名のダンスを 踊りながら 羽ばたく為のステージで 這いつくばっていても 踊らされてるのも 随分前から分かっていて それでも それでも また踊りながら 必死で生きているんだ 理想の未来なんて 用意されていない でもその中で願ってるのさ 光に包まれるその日々を
back number,僕は君の事が好きだけど君は僕を別に好きじゃないみたい,-1,-0.5359013,6.742254,2015-12-09,清水依与吏,僕は君の事が好きだけど君は僕を別に好きじゃないみたい,僕の世界は君を中心に 回っていると言っても過言じゃない これから生み出す全てを 捧げても構わない これには あのクレオパトラでさえも ご納得いただけるクオリティの ご提供となるはずだったのにな いらないって言われりゃそれまで 僕は君の事が好きだけど 君は僕を別に好きじゃないみたい 答えがあまりにシンプル過ぎて もうね何も言えないね ぐうの音も出ないってこの事だね でも気が済むまで 好きでいるけど あんまり気にしないで 嫌われないように生きる僕では 君には好かれないって一体何なんだい フラれてからずっと考えてるけど 謎は深まるばかり これには あの少年名探偵でさえも 途中で泣き出して家に帰ります 誰より大事にしたいと思う 僕じゃなんでダメなんだろうな 僕は君の事が好きだけど 君は僕を別に好きじゃないみたい 彼氏がいるわけじゃないみたいだし そうか 好みじゃないのね 絶望って言葉がぴったりだね 押しても駄目なら 引いてみようかな いやきっと気付かれもしない 本当に僕が欲しかったものは ちゃんと言えたんだって記憶でも 明日の強い自分でもなくて 君なんだ 君が欲しかったんだ 僕は君の事が好きだけど 君は僕を別に好きじゃないみたい それなら仕方ないってならなくて 今日も行き場の無い想い 身体中に詰め込んでパンパンだぜ もうやけくそだって バカなフリして 来週また言ってみようかな 毎週言ってみようかな
back number,水平線,-1,-2.961754,7.5003333,2021-08-13,清水依与吏,水平線,出来るだけ嘘は無いように どんな時も優しくあれるように 人が痛みを感じた時には 自分の事のように思えるように 正しさを別の正しさで 失くす悲しみにも出会うけれど 水平線が光る朝に あなたの希望が崩れ落ちて 風に飛ばされる欠片に 誰かが綺麗と呟いてる 悲しい声で歌いながら いつしか海に流れ着いて 光って あなたはそれを見るでしょう 自分の背中は見えないのだから 恥ずかしがらず人に尋ねるといい 心は誰にも見えないのだから 見えるものよりも大事にするといい 毎日が重なる事で 会えなくなる人も出来るけれど 透き通るほど淡い夜に あなたの夢がひとつ叶って 歓声と拍手の中に 誰かの悲鳴が隠れている 耐える理由を探しながら いくつも答えを抱えながら悩んで あなたは自分を知るでしょう 誰の心に残る事も 目に焼き付く事もない今日も 雑音と足音の奥で 私はここだと叫んでいる 水平線が光る朝に あなたの希望が崩れ落ちて 風に飛ばされる欠片に 誰かが綺麗と呟いてる 悲しい声で歌いながら いつしか海に流れ着いて 光って あなたはそれを見るでしょう あなたはそれを見るでしょう
back number,僕の名前を,-1,-2.6427414,7.705487,2016-05-25,清水依与吏,僕の名前を,最初から知ってたみたいに 僕の痛いところを 見つけて手をあててくるから 君はきっと未来から来たんだろう いらない思い出だらけの僕の頭を 君は笑って抱きしめてくれた 今 君の手を握って出来るだけ目を見て こんな毎日で良かったら残りの全部 まとめて君に全部あげるから きっと 人を想う事も大切にするって事も 大袈裟じゃなくて君が教えてくれたんだよ だからもう僕は君のものだ 本当は最初からどこかで 君を好きになると 僕は気付いていたんだろう だからきっと 君を避けたんだ 形があるといつか壊れてしまうなら 初めから作らなければその方がいい 失うのが怖くて繋がってしまうのが怖くて なのに君は何度も 何度も僕の名前を 今 君の手を握って出来るだけ目を見て こんな毎日で良かったら残りの全部 まとめて君に全部あげるから きっと 僕にもあった優しさは 何よりこんな気持ちは 大袈裟じゃなくて君と出会って知ったんだよ だからもう僕は君の これからずっと僕の全ては君のものだ
back number,幸せ,0,-2.5288606,9.2893915,2011-04-06,清水依与吏,幸せ,本当はもう分かってたの あなたがどんなにその人が好きなのかも となりにいる私じゃ勝ち目が無いって事も 本当はもう知ってたの あなたが恋に落ちてゆく その横で私は そっとあなたに恋をしていたの 何にも気付かないで笑うあなたの 横顔をずっと見ていました 最初から あなたの幸せしか願っていないから それがたとえ私じゃないとしても ちゃんと最後は 隠した想いが見つからないように 横から背中押すから 誰よりも幸せにしてあげて あなたが今しているのは 私が一番聞きたくない話なのに それでも聞き続けるのは あなたに会えなくなるよりは まだ少しだけましだから 私が聞きたかったのは 終電の時間でも好きな人の悪口でもなくて せめて今日のために切った髪に気付いて 似合ってるよって言ってほしかった 最初から あなたの幸せしか願っていないから それがたとえ私じゃないとしても ちゃんと最後は 隠した想いが見つからないように 横から背中押すから もう少しここにいて こんなに好きになる前に どこかで手は打てなかったのかな 私が選んで望んで恋したんだから 叶わなくても気持ちが伝えられなくても こんな気持ちになれた事を大切にしたい 本当だよ 会いたくて でもほら横にいても また辛くなってる その人より私の方が先に 好きになったのになぁ でも私があなたを好きなくらい あなたも想っているなら 私じゃやっぱりダメだね 最初から あなたの幸せしか願っていないから それがたとえ私じゃないとしても ちゃんと最後は 隠した想いが見つからないように 横から背中押すから 誰よりも幸せにしてあげて
back number,手紙,-1,-2.8123105,7.31785,2015-08-12,清水依与吏,手紙,嬉しい事があった時に 誰かに言いたくなるのは 自分よりも喜んでくれる人に 育ててもらったからなんだろうな 身体がだるくなった時は 確か生姜とハチミツで 口うるさくて嫌でも思い出すよ 離れていても守られているんだ あなたはずっと手を振って笑ってくれた 帰り道迷わないように もし前を向けなくなった時も 振り返ればいつも見えるように 愛されている事に ちゃんと気付いている事 いつか歌にしよう 思い上がって街を出て 思い知った挙句 途方に暮れて 追い越していく人を恨んでみたりして それでもいつか自分の事 誇れるように そしてその時は 誇らしく思ってもらえるように 膝すりむいて帰った日は なぜか僕より痛そうで そんな記憶が形を変え今も 離れていても守られているんだ あなたはずっと手を振って笑ってくれた 帰り道迷わないように もし前を向けなくなった時も 振り返ればいつも見えるように 愛されている事に ちゃんと気付いている事 いつか歌にしよう ちゃんと返したい事 いつか歌にしよう
back number,fish,0,-1.958065,9.032921,2014-02-05,清水依与吏,fish,私のスカートが青く揺れている 終わりの言葉に怯えているのね あなたの話では 悪いのは自分で決して私じゃないとか じゃあどうしてなの あの子みたいに笑えれば あの子みたいに泣けたなら 甘え上手になれてたら 今もそばにいられたの？ さよなら まだ私を呼ぶ声が 頭の中をまわるまわる さよなら ねぇまだ間に合うから 私の震える肩を抱きしめてよ 頼りない星と遠すぎるネオンが 出来の悪い物語の終わりを彩る あなたの好きな色をした スカートを揺らしながら あの日みたいに笑えても もうそばにいられない さよなら まだ私を呼ぶ声が 頭の中をまわるまわる さよなら ねぇまだ間に合うから 私の震える肩を抱きしめてよ さよなら あなたは見上げている 私はそれを見つめてる さよなら 一度だけつぶやいて 続きは心の中に閉まっておくの あなたがここに帰って来ますように
back number,思い出せなくなるその日まで,9,-4.2179265,3.856483,2011-10-05,清水依与吏,思い出せなくなるその日まで,世界で1番大事な人が いなくなっても日々は続いてく 思い出せなくなるその日まで 何をして何を見て 息をしていよう ひらひら輝くこの雪も季節も せめてあなたがそばにいれば 今ではただ冷たくて 邪魔くさいだけね 寒いねって言ったら 寒いねって聞こえる あれは幸せだったのね たとえばあなたといた日々を 記憶のすべてを消し去る事ができたとして もうそれは私ではないと思う 幸せひとつを 分け合っていたのだから 私の半分はあなたで そしてあなたの半分は 私でできていたのね それならこんなに痛いのも 涙が出るのも 仕方がない事だね あなたの好きだった冬の上で いつかしたケンカを思い出してる 春になればまたきっと 花は咲くんだけど もう何も何も 出来ないままで 誰も誰も 悲しいままで たとえばあなたといた日々を 記憶のすべてを消し去る事ができたとして もうそれは私ではないと思う 悲しみひとつも 分け合っていたのだから 私の半分はあなたで そしてあなたの半分は 私でできていたのね それならこんなに痛いのも 涙がでるのも きっと私だけじゃないね
back number,はなびら,7,-3.165169,3.9195454,2011-04-06,清水依与吏,はなびら,桜の花が舞い落ちるこの景色を いつか僕たちは並んで見ていた 今ではそのほとんどが嘘になってしまった言葉を 心から伝え合いながら 見上げれば空は 君に見せたいくらい綺麗で 耳をすませば 今でも君の声が聞こえる 抱きしめても 春ははなびらのように 僕の腕をすり抜けて それでも忘れたくなくて 何度も何度も 巻き戻して 君ともう一回出会って もう一回恋したいんだって 今度はもう離さないよ 離さない 歩道橋の上にも横断歩道の向こうにも 駐車場の緑のフェンスの前にも いたる所で君の想い出が笑ってて ずいぶん住みにくい街になったな 言い忘れたけど君の事がまだ好きだよ ひとりでつぶやいただけなのにな 溢れてくる 抱きしめても 春ははなびらのように 僕の腕をすり抜けて それでも忘れたくなくて 何度も何度も 巻き戻して 君ともう一回出会って もう一回恋したいんだって 今度はもう離さないよ 嘘じゃない 枯れ落ちた花があの日と同じ風に吹かれて 終われなかった恋をつれて今 舞い上がってく 抱きしめても 春ははなびらのように 僕の腕をすり抜けて それでも忘れたくなくて 何度も何度も 巻き戻して 君ともう一回出会って もう一回恋したいんだって 今度はもう離さないよ 離さない 君を離さない
back number,日曜日,10,0.07672494,6.7962437,2012-05-30,清水依与吏,日曜日,ねぇもうすぐお昼だよ 君の声で目が覚めて でももう少し寝たい気もするな でも君に怒られるな 最近の幸せといえば 美味しいものを食べる事で 確か前はもっと大それた事を 語ってたはずなのにな 洗濯物をぱたぱた伸ばしてる君を ソファーの上で眺めてたら なんとなくわかった気がしてきて そうだ あの日君がこっちを向いてバカねって 笑ってくれた時 きっとあの時に変わったんだ こんな毎日を願う僕に たとえ アイドルと付き合えなくたって 外車に乗れなくたって 君がここにいるなら 幸福な人生だろう 大事にすべきものは 探せばいくらでもあるんだけど 本当はそんなにいくつもの ものは守れなくて だから選ぶんだよ 僕も 君も あの日君がこっちを向いておかえりって 笑ってくれた時 きっとあの時に変わったんだ こんな毎日を願う僕に たとえ 世界を救えなくたって 有名になれなくたって 君を守る為に生きられたら後悔しないだろう
